CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6C1A3	YALI0F17996g2_1	3.66261E-06	4.06263E-06	1.94643E-06	4.44443E-06	3.77358E-07	6.11889E-07	5.62404E-07	3.9396E-06	3.86795E-06	3.80305E-06	5.81175E-06
Q6CBB8	YALI0C20265g1_1	4.91588E-07	3.84369E-07	4.68312E-08	4.34075E-07	2.09552E-08	1.47221E-08	6.06606E-08	1.74587E-06	7.06338E-07	1.27608E-06	7.80042E-07
Q6CC94	YALI0C11341g1_1	5.46719E-05	5.41653E-05	4.50207E-05	0.000111421	5.90466E-05	6.34465E-05	0.000100324	3.21341E-05	5.45132E-05	3.16577E-05	3.98934E-05
Q6CB65	YALI0C21560g1_1	4.6667E-05	5.84418E-05	3.89591E-05	5.82415E-05	3.62004E-05	3.0618E-05	3.15074E-05	4.34041E-05	3.38599E-05	4.43274E-05	6.25394E-05
Q6CFS9	YALI0B04180g1_1	1.33233E-05	1.40412E-05	1.12939E-05	1.27429E-05	6.90968E-06	4.51364E-06	6.42963E-06	7.04565E-06	6.9801E-06	9.01779E-06	1.08845E-05
Q6CIA2	YALI0A00264g1_1	1.22882E-05	1.53887E-05	1.13291E-05	1.17093E-05	4.30312E-06	6.3864E-06	6.6919E-06	7.22254E-06	6.68125E-06	6.56914E-06	8.5215E-06
0	0	0.000117568	6.93802E-05	5.823E-05	7.04953E-05	8.62237E-05	8.00051E-05	0.000100599	7.67005E-05	6.69905E-05	0.000106697	5.82549E-05
Q6C2E3	YALI0F08613g1_1	3.27401E-05	2.84524E-05	2.69605E-05	3.5485E-05	3.3241E-05	3.79947E-05	3.29032E-05	2.77304E-05	2.1129E-05	3.81719E-05	4.6402E-05
Q6C844	YALI0D22891g1_1	4.04727E-05	2.97491E-05	4.07678E-05	3.57377E-05	2.31911E-05	3.48466E-05	2.66042E-05	3.42799E-05	2.83235E-05	2.78483E-05	3.30643E-05
Q6C8V3	YALI0D16753g1_1	6.42728E-05	3.59375E-05	4.88631E-05	5.16829E-05	5.15005E-05	3.61818E-05	3.42699E-05	4.58124E-05	4.49792E-05	6.79557E-05	3.08191E-05
